order_id,customer_id,product_id,product_name,category,quantity,unit_price,discount_pct,payment_method,shipping_method,region,country,order_date,delivery_status,customer_rating,total_amount
ORD-000080,CUST-00428,PROD-0306,Monitor,Furniture,9,1622.21,15,PayPal,Overnight,South America,Brazil,2025-03-20 21:29:17.406267,In Transit,3,12409.91
ORD-000081,CUST-00509,PROD-0264,Mouse,Electronics,7,38.03,5,Bank Transfer,Express,South America,Brazil,2025-11-03 21:29:17.406274,In Transit,5,252.9
ORD-000082,CUST-00776,PROD-0425,Chair,Computing,2,1813.15,15,PayPal,Express,Europe,UK,2025-07-02 21:29:17.406281,Delivered,4,3082.36
ORD-000083,CUST-00943,PROD-0390,Monitor,Furniture,2,461.03,5,PayPal,Standard,Asia,UK,2025-04-19 21:29:17.406288,Delivered,4,875.96
ORD-000084,CUST-00035,PROD-0325,Tablet,Electronics,5,1414.81,15,Credit Card,Overnight,South America,Japan,2025-02-17 21:29:17.406295,Delivered,4,6012.94
ORD-000085,CUST-00206,PROD-0428,Desk,Furniture,5,1110.62,20,Bank Transfer,Express,North America,Japan,2025-05-19 21:29:17.406302,Delivered,1,4442.48
ORD-000086,CUST-00081,PROD-0377,Mouse,Computing,4,1078.26,25,Bank Transfer,Express,Africa,Brazil,2025-09-28 21:29:17.406310,Delivered,2,3234.78
ORD-000087,CUST-00932,PROD-0320,Monitor,Accessories,3,1438.66,5,Credit Card,Express,Europe,Germany,2025-03-28 21:29:17.406317,Delivered,4,4100.18
ORD-000088,CUST-00562,PROD-0157,Headphones,Electronics,4,422.29,5,Cash,Overnight,Europe,Brazil,2025-03-20 21:29:17.406324,In Transit,3,1604.7
ORD-000089,CUST-00872,PROD-0156,Keyboard,Electronics,4,326.46,10,Credit Card,Overnight,South America,Germany,2025-10-06 21:29:17.406331,In Transit,4,1175.26
ORD-000090,CUST-00388,PROD-0139,Tablet,Electronics,2,1307.31,5,Credit Card,Overnight,Asia,China,2025-10-25 21:29:17.406338,Delivered,4,2483.89
ORD-000091,CUST-00002,PROD-0121,Headphones,Electronics,5,588.25,15,Cash,Overnight,Asia,France,2025-04-19 21:29:17.406345,Delivered,5,2500.06
ORD-000092,CUST-00390,PROD-0065,Mouse,Electronics,5,1948.16,20,PayPal,Overnight,Africa,India,2025-01-30 21:29:17.406351,Delivered,5,7792.64
ORD-000093,CUST-00566,PROD-0107,Keyboard,Electronics,5,908.51,20,Bank Transfer,Standard,Africa,France,2025-12-28 21:29:17.406358,In Transit,5,3634.04
ORD-000094,CUST-00106,PROD-0147,Tablet,Computing,1,232.08,10,Bank Transfer,Standard,Asia,Japan,2025-07-05 21:29:17.406366,In Transit,5,208.87
ORD-000095,CUST-00772,PROD-0137,Desk,Accessories,6,1374.77,15,Cash,Overnight,Asia,USA,2025-06-16 21:29:17.406374,Delivered,5,7011.33
ORD-000096,CUST-00822,PROD-0411,Mouse,Computing,2,619.26,15,Bank Transfer,Standard,Asia,USA,2025-01-26 21:29:17.406380,Delivered,5,1052.74
ORD-000097,CUST-00477,PROD-0162,Tablet,Computing,7,305.69,0,Cash,Overnight,South America,USA,2025-09-10 21:29:17.406388,Delivered,5,2139.83
ORD-000098,CUST-00703,PROD-0428,Monitor,Accessories,4,851.42,5,PayPal,Standard,North America,UK,2025-03-10 21:29:17.406395,Delivered,5,3235.4
ORD-000099,CUST-00402,PROD-0452,Tablet,Computing,5,1928.8,10,Cash,Standard,Africa,Germany,2025-09-10 21:29:17.406402,Delivered,5,8679.6
ORD-000100,CUST-00730,PROD-0100,Mouse,Furniture,5,828.75,20,Bank Transfer,Express,Europe,Japan,2025-09-06 21:29:17.406410,Delivered,3,3315.0
ORD-000101,CUST-00556,PROD-0338,Smartphone,Computing,5,701.19,25,Bank Transfer,Overnight,Asia,France,2025-08-22 21:29:17.406417,Delivered,5,2629.46
ORD-000102,CUST-00162,PROD-0399,Monitor,Electronics,2,894.57,0,Cash,Standard,Asia,USA,2025-05-03 21:29:17.406424,Delivered,5,1789.14
ORD-000103,CUST-00202,PROD-0307,Headphones,Furniture,5,34.11,15,Bank Transfer,Standard,North America,France,2025-12-22 21:29:17.406431,Processing,4,144.97
ORD-000104,CUST-00958,PROD-0141,Mouse,Furniture,3,274.87,5,Cash,Express,Asia,Germany,2025-06-14 21:29:17.406437,Delivered,3,783.38
ORD-000105,CUST-00996,PROD-0083,Smartphone,Accessories,4,1700.85,20,Bank Transfer,Standard,Africa,China,2025-09-07 21:29:17.406444,Processing,4,5442.72
ORD-000106,CUST-00270,PROD-0177,Laptop,Computing,2,1956.29,0,Credit Card,Express,Asia,China,2026-01-02 21:29:17.406451,Delivered,5,3912.58
ORD-000107,CUST-00863,PROD-0198,Desk,Computing,4,324.3,15,PayPal,Standard,North America,Japan,2025-08-26 21:29:17.406459,Delivered,5,1102.62
ORD-000108,CUST-00816,PROD-0112,Smartphone,Furniture,9,1075.68,20,Bank Transfer,Express,South America,USA,2025-04-21 21:29:17.406466,Delivered,4,7744.9
ORD-000109,CUST-00271,PROD-0056,Laptop,Computing,8,1933.0,20,Bank Transfer,Express,Africa,India,2025-11-18 21:29:17.406473,Delivered,3,12371.2
ORD-000110,CUST-00456,PROD-0460,Chair,Computing,3,321.6,15,Bank Transfer,Overnight,South America,USA,2025-10-20 21:29:17.406480,Delivered,5,820.08
ORD-000111,CUST-00462,PROD-0179,Keyboard,Accessories,1,380.76,15,Cash,Overnight,Europe,China,2025-04-15 21:29:17.406487,Delivered,5,323.65
ORD-000112,CUST-00727,PROD-0421,Smartphone,Furniture,1,1854.36,10,Bank Transfer,Standard,North America,Japan,2025-10-03 21:29:17.406494,Delivered,4,1668.92
ORD-000113,CUST-00252,PROD-0401,Webcam,Electronics,6,1414.32,20,Cash,Overnight,Europe,France,2025-02-09 21:29:17.406501,Processing,5,6788.74
ORD-000114,CUST-00702,PROD-0186,Desk,Furniture,3,312.41,15,Bank Transfer,Overnight,Europe,Germany,2025-01-29 21:29:17.406508,Delivered,4,796.65
ORD-000115,CUST-00296,PROD-0471,Smartphone,Accessories,4,793.05,25,Credit Card,Overnight,Europe,China,2025-08-24 21:29:17.406515,Delivered,4,2379.15
ORD-000116,CUST-00725,PROD-0218,Laptop,Accessories,1,121.98,25,Credit Card,Standard,Europe,China,2025-02-14 21:29:17.406522,Processing,5,91.48
ORD-000117,CUST-00720,PROD-0413,Webcam,Accessories,8,871.02,0,PayPal,Standard,North America,Germany,2025-02-19 21:29:17.406529,In Transit,5,6968.16
ORD-000118,CUST-00749,PROD-0417,Desk,Computing,1,1558.02,5,Cash,Overnight,South America,Germany,2025-07-22 21:29:17.406537,Delivered,4,1480.12
ORD-000119,CUST-00338,PROD-0316,Webcam,Furniture,5,1112.4,25,PayPal,Overnight,Asia,China,2025-09-03 21:29:17.406544,Delivered,1,4171.5
ORD-000120,CUST-00879,PROD-0475,Monitor,Computing,6,1298.41,10,Bank Transfer,Standard,Europe,France,2025-02-04 21:29:17.406551,Delivered,3,7011.41
ORD-000121,CUST-00053,PROD-0217,Laptop,Computing,2,660.37,15,Bank Transfer,Overnight,Asia,France,2025-04-25 21:29:17.406558,Delivered,5,1122.63
ORD-000122,CUST-00792,PROD-0120,Tablet,Furniture,7,331.18,5,Credit Card,Express,Asia,USA,2025-08-20 21:29:17.406565,Delivered,5,2202.35
ORD-000123,CUST-00922,PROD-0439,Monitor,Accessories,7,36.1,10,PayPal,Standard,Europe,France,2026-01-02 21:29:17.406572,Delivered,4,227.43
ORD-000124,CUST-00217,PROD-0394,Desk,Electronics,1,1644.41,20,Bank Transfer,Standard,Africa,UK,2025-02-20 21:29:17.406579,In Transit,4,1315.53
ORD-000125,CUST-00764,PROD-0175,Desk,Electronics,4,1276.94,5,Bank Transfer,Express,Asia,Japan,2025-11-20 21:29:17.406586,Delivered,4,4852.37
ORD-000126,CUST-00188,PROD-0023,Mouse,Furniture,4,466.35,25,Cash,Overnight,Africa,France,2025-05-29 21:29:17.406593,Delivered,5,1399.05
ORD-000127,CUST-00380,PROD-0213,Laptop,Furniture,5,842.68,10,Bank Transfer,Express,South America,Germany,2025-09-14 21:29:17.406600,Delivered,4,3792.06
ORD-000128,CUST-00493,PROD-0405,Chair,Accessories,1,1604.87,15,PayPal,Overnight,Asia,France,2025-01-30 21:29:17.406607,Delivered,4,1364.14
ORD-000129,CUST-00041,PROD-0235,Chair,Furniture,1,1082.01,15,Credit Card,Overnight,North America,USA,2025-05-26 21:29:17.406614,Delivered,5,919.71
ORD-000130,CUST-00157,PROD-0013,Desk,Furniture,7,607.32,10,Credit Card,Standard,South America,Brazil,2025-08-05 21:29:17.406622,Delivered,3,3826.12
ORD-000131,CUST-00015,PROD-0101,Chair,Accessories,9,541.7,20,Bank Transfer,Standard,South America,Japan,2025-10-24 21:29:17.406629,Delivered,4,3900.24
ORD-000132,CUST-00813,PROD-0417,Keyboard,Accessories,1,443.05,25,Bank Transfer,Overnight,Africa,Japan,2025-11-28 21:29:17.406636,Processing,4,332.29
ORD-000133,CUST-00065,PROD-0024,Mouse,Computing,2,1649.22,10,Bank Transfer,Express,Europe,Germany,2025-01-15 21:29:17.406643,Delivered,5,2968.6
ORD-000134,CUST-00857,PROD-0364,Desk,Furniture,6,1167.9,0,Cash,Standard,North America,Japan,2025-03-29 21:29:17.406650,Delivered,5,7007.4
ORD-000135,CUST-00839,PROD-0011,Chair,Electronics,6,1421.22,10,Bank Transfer,Overnight,North America,UK,2025-08-07 21:29:17.406657,Processing,4,7674.59
ORD-000136,CUST-00521,PROD-0273,Laptop,Furniture,2,1721.64,10,Bank Transfer,Standard,Africa,Japan,2025-07-19 21:29:17.406664,Cancelled,3,3098.95
ORD-000137,CUST-00344,PROD-0452,Smartphone,Electronics,9,1973.85,25,Cash,Standard,Africa,China,2025-01-17 21:29:17.406671,Delivered,4,13323.49
ORD-000138,CUST-00129,PROD-0431,Tablet,Electronics,4,506.47,15,PayPal,Standard,South America,Germany,2025-06-20 21:29:17.406678,Processing,3,1722.0
ORD-000139,CUST-00648,PROD-0281,Monitor,Electronics,7,370.0,20,Cash,Express,Africa,Japan,2025-12-05 21:29:17.406693,Delivered,2,2072.0
ORD-000140,CUST-00472,PROD-0094,Monitor,Computing,6,929.38,10,Credit Card,Express,Europe,France,2025-06-14 21:29:17.406701,Delivered,4,5018.65
ORD-000141,CUST-00063,PROD-0201,Keyboard,Accessories,3,79.79,5,Cash,Overnight,South America,USA,2025-01-27 21:29:17.406707,Delivered,5,227.4
ORD-000142,CUST-00139,PROD-0021,Webcam,Accessories,8,1585.52,15,Cash,Express,South America,China,2025-08-13 21:29:17.406715,Delivered,5,10781.54
ORD-000143,CUST-00499,PROD-0340,Laptop,Computing,7,1768.68,15,PayPal,Overnight,South America,China,2025-02-10 21:29:17.406722,Delivered,5,10523.65
ORD-000144,CUST-00593,PROD-0467,Webcam,Accessories,9,1375.22,10,PayPal,Overnight,North America,France,2025-03-27 21:29:17.406729,Delivered,5,11139.28
ORD-000145,CUST-00392,PROD-0211,Mouse,Computing,3,543.31,25,Bank Transfer,Standard,North America,Brazil,2025-08-01 21:29:17.406736,Processing,5,1222.45
ORD-000146,CUST-00675,PROD-0140,Tablet,Furniture,1,255.08,5,Cash,Standard,South America,China,2025-04-17 21:29:17.406743,Delivered,5,242.33
ORD-000147,CUST-00419,PROD-0293,Mouse,Computing,2,770.47,10,PayPal,Express,Europe,UK,2025-12-21 21:29:17.406750,Delivered,5,1386.85
ORD-000148,CUST-00289,PROD-0298,Desk,Accessories,1,1668.34,5,Credit Card,Overnight,Asia,UK,2025-09-21 21:29:17.406794,Delivered,4,1584.92
ORD-000149,CUST-00379,PROD-0401,Laptop,Accessories,5,702.18,15,Bank Transfer,Overnight,South America,USA,2025-01-28 21:29:17.406803,Cancelled,3,2984.26
ORD-000150,CUST-00773,PROD-0101,Desk,Furniture,2,78.17,5,Cash,Standard,Africa,USA,2025-04-29 21:29:17.406812,In Transit,4,148.52
ORD-000151,CUST-00490,PROD-0304,Headphones,Computing,3,555.82,10,Credit Card,Standard,Asia,USA,2025-03-14 21:29:17.406820,Delivered,5,1500.71
ORD-000152,CUST-00231,PROD-0359,Chair,Furniture,8,1979.99,0,PayPal,Standard,North America,USA,2025-01-15 21:29:17.406827,In Transit,4,15839.92
ORD-000153,CUST-00041,PROD-0028,Monitor,Electronics,5,1356.57,0,Bank Transfer,Express,North America,Japan,2025-06-02 21:29:17.406834,In Transit,3,6782.85
ORD-000154,CUST-00028,PROD-0041,Smartphone,Computing,4,1802.7,5,Credit Card,Overnight,Asia,India,2025-10-04 21:29:17.406841,Processing,5,6850.26
ORD-000155,CUST-00135,PROD-0355,Desk,Furniture,5,1551.98,25,Cash,Overnight,Africa,China,2025-09-05 21:29:17.406848,Delivered,4,5819.92
ORD-000156,CUST-00201,PROD-0303,Webcam,Furniture,6,1084.01,10,Credit Card,Overnight,North America,France,2025-04-25 21:29:17.406855,Delivered,5,5853.65
ORD-000157,CUST-00840,PROD-0496,Headphones,Accessories,7,305.89,20,Bank Transfer,Standard,North America,UK,2026-01-02 21:29:17.406862,Delivered,3,1712.98
ORD-000158,CUST-00780,PROD-0146,Monitor,Computing,9,703.8,0,Cash,Express,South America,Japan,2025-02-26 21:29:17.406869,Cancelled,5,6334.2
ORD-000159,CUST-00930,PROD-0256,Desk,Electronics,1,1171.64,15,Cash,Express,Europe,USA,2025-07-17 21:29:17.406876,Cancelled,5,995.89
ORD-000160,CUST-00033,PROD-0462,Headphones,Electronics,4,1742.56,10,Credit Card,Standard,Africa,Germany,2025-01-30 21:29:17.406883,In Transit,5,6273.22
ORD-000161,CUST-00048,PROD-0227,Headphones,Computing,9,544.66,10,Bank Transfer,Express,South America,Germany,2025-08-06 21:29:17.406890,Delivered,4,4411.75
ORD-000162,CUST-00503,PROD-0236,Laptop,Computing,5,251.24,0,Cash,Express,Europe,France,2025-09-22 21:29:17.406897,Delivered,5,1256.2
ORD-000163,CUST-00407,PROD-0361,Mouse,Furniture,8,1122.08,20,Bank Transfer,Overnight,North America,UK,2025-12-27 21:29:17.406904,Delivered,1,7181.31
ORD-000164,CUST-00574,PROD-0380,Headphones,Accessories,1,361.24,15,PayPal,Standard,Europe,India,2025-10-02 21:29:17.406911,Delivered,3,307.05
ORD-000165,CUST-00728,PROD-0455,Keyboard,Accessories,4,1224.62,20,Credit Card,Standard,North America,Brazil,2025-07-12 21:29:17.406918,Delivered,4,3918.78
