device_id,sensor_type,location,floor,reading_value,unit,timestamp,battery_level,signal_strength,status
IOT-069,Pressure,Building C,9,46.05,Pascal,2025-12-23 16:29:17.570790,85,-68,Active
IOT-040,Motion,Warehouse,10,76.7,Celsius,2026-01-05 10:29:17.570798,42,-90,Active
IOT-069,Pressure,Warehouse,6,85.3,Boolean,2026-01-05 06:29:17.570804,97,-47,Active
IOT-043,Pressure,Building A,10,84.06,Pascal,2026-01-08 09:29:17.570809,80,-46,Active
IOT-064,Pressure,Building C,7,20.33,Pascal,2026-01-05 06:29:17.570813,67,-44,Active
IOT-007,Humidity,Building A,7,33.26,Pascal,2026-01-08 11:29:17.570818,81,-63,Active
IOT-002,Pressure,Building B,7,94.81,Celsius,2025-12-27 06:29:17.570823,56,-57,Active
IOT-030,Humidity,Building B,4,77.89,Boolean,2025-12-21 11:29:17.570828,46,-59,Active
IOT-075,Pressure,Warehouse,6,85.92,Percent,2025-12-29 07:29:17.570832,63,-33,Active
IOT-052,Humidity,Building B,7,58.7,Percent,2026-01-02 19:29:17.570837,44,-68,Active
IOT-033,Motion,Building C,10,48.41,Celsius,2026-01-12 00:29:17.570841,72,-56,Active
IOT-009,Humidity,Warehouse,4,70.35,Boolean,2025-12-20 23:29:17.570845,16,-63,Active
IOT-011,Temperature,Warehouse,9,55.19,Boolean,2025-12-24 05:29:17.570850,13,-86,Active
IOT-076,Humidity,Building C,9,46.77,Pascal,2025-12-15 02:29:17.570855,43,-75,Active
IOT-010,Humidity,Building C,4,44.57,Boolean,2025-12-18 04:29:17.570859,48,-44,Active
IOT-054,Motion,Building A,8,28.42,Celsius,2026-01-12 19:29:17.570864,95,-71,Active
IOT-075,Humidity,Building B,8,60.0,Boolean,2026-01-02 02:29:17.570868,42,-39,Active
IOT-097,Motion,Warehouse,2,59.19,Percent,2026-01-11 09:29:17.570873,84,-43,Active
IOT-020,Motion,Building B,6,65.22,Percent,2025-12-18 08:29:17.570877,18,-71,Active
IOT-005,Motion,Building A,9,24.88,Pascal,2025-12-27 09:29:17.570881,24,-74,Active
IOT-024,Temperature,Building A,8,92.77,Boolean,2025-12-15 04:29:17.570886,39,-86,Active
IOT-032,Humidity,Warehouse,1,78.07,Celsius,2026-01-12 11:29:17.570890,53,-31,Active
IOT-031,Temperature,Building B,5,26.13,Percent,2026-01-02 11:29:17.570895,32,-34,Active
IOT-044,Motion,Building B,5,21.74,Celsius,2026-01-01 01:29:17.570899,77,-71,Active
IOT-078,Humidity,Warehouse,9,69.65,Percent,2026-01-05 04:29:17.570904,87,-86,Active
IOT-019,Motion,Warehouse,2,44.03,Percent,2025-12-24 17:29:17.570909,92,-88,Active
IOT-024,Humidity,Building A,5,42.12,Percent,2025-12-20 19:29:17.570914,97,-59,Active
IOT-096,Humidity,Warehouse,1,86.4,Celsius,2025-12-17 12:29:17.570918,66,-66,Active
IOT-012,Humidity,Building A,8,44.34,Celsius,2025-12-20 01:29:17.570923,54,-57,Active
IOT-050,Pressure,Building B,8,68.74,Boolean,2025-12-16 04:29:17.570927,80,-41,Active
IOT-085,Pressure,Building B,2,60.65,Pascal,2026-01-06 22:29:17.570932,27,-90,Active
IOT-025,Pressure,Building A,10,37.35,Boolean,2025-12-21 05:29:17.570937,54,-89,Active
IOT-051,Humidity,Building B,1,43.19,Celsius,2026-01-01 12:29:17.570941,58,-81,Warning
IOT-014,Motion,Warehouse,3,95.17,Boolean,2025-12-25 08:29:17.570946,24,-73,Warning
IOT-072,Motion,Building A,9,43.17,Celsius,2026-01-09 13:29:17.570950,56,-78,Warning
IOT-029,Pressure,Building B,7,81.64,Percent,2026-01-01 19:29:17.570954,14,-69,Warning
IOT-025,Temperature,Building C,7,88.21,Pascal,2025-12-15 05:29:17.570959,71,-84,Active
IOT-087,Humidity,Building C,10,21.04,Pascal,2025-12-20 03:29:17.570964,93,-60,Warning
IOT-059,Motion,Building B,4,71.36,Celsius,2025-12-20 19:29:17.570968,16,-59,Warning
IOT-057,Motion,Warehouse,5,78.69,Boolean,2026-01-10 00:29:17.570973,83,-89,Active
IOT-012,Pressure,Building A,7,51.89,Celsius,2025-12-26 10:29:17.570977,74,-48,Active
IOT-050,Temperature,Building C,2,63.39,Celsius,2025-12-17 06:29:17.570982,96,-36,Active
IOT-012,Temperature,Warehouse,3,28.75,Celsius,2025-12-29 08:29:17.570986,49,-44,Active
IOT-082,Humidity,Building A,3,42.07,Celsius,2026-01-06 12:29:17.570990,92,-54,Active
IOT-048,Motion,Building C,7,75.15,Pascal,2025-12-20 12:29:17.570995,66,-42,Warning
IOT-050,Humidity,Building C,7,66.22,Pascal,2025-12-18 08:29:17.570999,42,-87,Active
IOT-019,Temperature,Building C,6,26.59,Boolean,2025-12-24 14:29:17.571004,89,-44,Active
IOT-053,Temperature,Building B,1,98.98,Pascal,2026-01-11 15:29:17.571008,43,-60,Active
IOT-035,Humidity,Building B,10,94.71,Percent,2026-01-06 06:29:17.571013,39,-34,Active
IOT-027,Temperature,Warehouse,8,34.05,Percent,2026-01-09 14:29:17.571019,33,-83,Active
IOT-067,Pressure,Building A,10,89.39,Celsius,2026-01-07 16:29:17.571023,45,-78,Active
IOT-077,Pressure,Building B,10,37.71,Percent,2025-12-30 15:29:17.571028,25,-89,Warning
IOT-051,Temperature,Building A,4,62.92,Pascal,2026-01-02 08:29:17.571032,92,-87,Active
IOT-019,Motion,Building C,8,81.47,Celsius,2025-12-29 19:29:17.571037,67,-47,Active
IOT-043,Temperature,Building B,7,44.25,Percent,2025-12-26 05:29:17.571041,12,-61,Active
IOT-035,Humidity,Building C,1,62.19,Boolean,2025-12-26 01:29:17.571045,90,-47,Active
IOT-015,Motion,Building A,7,53.28,Pascal,2026-01-05 05:29:17.571050,40,-37,Warning
IOT-016,Pressure,Building B,4,79.62,Celsius,2025-12-18 06:29:17.571054,12,-61,Active
IOT-099,Pressure,Building B,5,55.69,Celsius,2025-12-24 20:29:17.571059,21,-43,Active
IOT-069,Pressure,Building C,6,63.19,Pascal,2025-12-24 23:29:17.571063,47,-46,Active
IOT-071,Pressure,Warehouse,5,86.87,Pascal,2025-12-27 12:29:17.571068,55,-74,Warning
IOT-085,Pressure,Building B,2,74.38,Boolean,2025-12-20 08:29:17.571072,71,-75,Warning
IOT-041,Motion,Building A,8,59.84,Percent,2025-12-18 06:29:17.571076,79,-59,Active
IOT-054,Pressure,Building B,8,54.21,Pascal,2025-12-30 23:29:17.571081,86,-88,Active
IOT-065,Motion,Building C,5,25.78,Pascal,2025-12-23 04:29:17.571086,62,-63,Warning
IOT-089,Humidity,Building A,5,19.79,Boolean,2025-12-18 04:29:17.571090,43,-90,Active
IOT-030,Temperature,Building B,7,95.99,Pascal,2026-01-04 01:29:17.571095,14,-66,Error
IOT-019,Motion,Building C,2,30.85,Celsius,2026-01-08 08:29:17.571099,95,-60,Active
IOT-088,Pressure,Building C,5,38.53,Boolean,2025-12-31 09:29:17.571104,82,-44,Warning
IOT-046,Humidity,Warehouse,1,66.93,Pascal,2025-12-27 00:29:17.571108,42,-64,Active
IOT-060,Humidity,Building C,4,85.37,Pascal,2025-12-30 10:29:17.571113,36,-48,Active
IOT-079,Temperature,Building C,8,85.82,Celsius,2026-01-10 11:29:17.571117,21,-78,Active
IOT-099,Temperature,Warehouse,1,85.52,Celsius,2026-01-07 01:29:17.571121,27,-32,Warning
IOT-024,Motion,Warehouse,10,98.14,Boolean,2026-01-05 07:29:17.571126,56,-64,Active
IOT-036,Motion,Warehouse,1,19.73,Celsius,2025-12-17 14:29:17.571130,51,-68,Active
IOT-049,Temperature,Warehouse,4,48.99,Celsius,2025-12-19 15:29:17.571135,82,-87,Active
IOT-059,Temperature,Building C,10,92.65,Celsius,2025-12-24 10:29:17.571139,98,-83,Active
IOT-014,Temperature,Building A,5,54.72,Pascal,2026-01-09 02:29:17.571144,39,-34,Active
IOT-086,Humidity,Building C,9,89.06,Pascal,2025-12-29 16:29:17.571148,46,-72,Active
IOT-039,Temperature,Building C,5,16.5,Percent,2026-01-02 01:29:17.571153,51,-73,Active
IOT-008,Humidity,Building B,1,57.87,Pascal,2026-01-11 15:29:17.571157,25,-36,Active
IOT-048,Pressure,Building A,3,93.41,Boolean,2025-12-25 08:29:17.571162,36,-46,Active
IOT-080,Pressure,Building C,4,37.21,Celsius,2025-12-31 23:29:17.571167,32,-56,Active
IOT-081,Motion,Building B,7,94.02,Pascal,2025-12-27 07:29:17.571172,79,-56,Active
IOT-069,Motion,Building A,2,15.72,Pascal,2025-12-15 21:29:17.571176,87,-56,Active
IOT-041,Temperature,Building A,4,21.71,Percent,2026-01-13 03:29:17.571181,36,-80,Active
IOT-035,Motion,Building C,8,55.53,Boolean,2025-12-18 00:29:17.571185,26,-54,Active
IOT-064,Pressure,Building A,5,24.04,Boolean,2025-12-16 04:29:17.571189,15,-79,Active
IOT-053,Motion,Building B,6,34.18,Celsius,2025-12-22 03:29:17.571194,87,-75,Active
IOT-054,Humidity,Building A,3,40.29,Boolean,2025-12-18 16:29:17.571198,92,-79,Active
IOT-037,Motion,Building C,4,55.93,Pascal,2025-12-23 14:29:17.571203,19,-32,Active
IOT-052,Pressure,Warehouse,9,48.19,Boolean,2026-01-03 21:29:17.571207,54,-83,Warning
IOT-018,Pressure,Building C,2,93.38,Percent,2026-01-11 14:29:17.571212,65,-44,Active
IOT-021,Pressure,Warehouse,3,90.31,Boolean,2026-01-01 18:29:17.571216,40,-90,Active
IOT-042,Pressure,Building B,2,78.59,Pascal,2025-12-22 23:29:17.571221,49,-85,Active
IOT-065,Humidity,Building A,2,71.04,Pascal,2026-01-06 08:29:17.571225,12,-84,Warning
IOT-081,Motion,Building B,9,32.37,Boolean,2025-12-19 03:29:17.571230,56,-48,Active
IOT-008,Pressure,Building A,8,66.16,Pascal,2025-12-18 09:29:17.571234,33,-90,Active
IOT-093,Motion,Building A,7,27.5,Percent,2026-01-13 14:29:17.571238,20,-52,Active
IOT-084,Temperature,Building A,9,53.48,Boolean,2025-12-23 01:29:17.571243,84,-77,Active
IOT-039,Humidity,Warehouse,8,54.23,Boolean,2025-12-31 09:29:17.571247,40,-57,Active
IOT-061,Temperature,Building A,9,73.63,Boolean,2025-12-16 03:29:17.571252,56,-63,Active
IOT-060,Humidity,Warehouse,2,85.99,Pascal,2025-12-17 06:29:17.571256,87,-47,Active
IOT-069,Pressure,Building C,7,42.24,Pascal,2025-12-25 04:29:17.571261,52,-90,Active
IOT-059,Motion,Warehouse,9,18.5,Boolean,2025-12-20 03:29:17.571265,20,-65,Active
IOT-010,Humidity,Building C,9,18.99,Percent,2026-01-11 03:29:17.571273,65,-55,Active
IOT-063,Temperature,Warehouse,8,89.36,Celsius,2025-12-23 06:29:17.571278,15,-57,Warning
IOT-070,Temperature,Building B,1,56.34,Celsius,2026-01-12 20:29:17.571282,10,-31,Active
IOT-007,Motion,Building A,3,36.08,Pascal,2025-12-21 16:29:17.571286,85,-66,Active
IOT-035,Humidity,Building B,8,17.74,Percent,2025-12-24 14:29:17.571291,11,-67,Active
IOT-091,Temperature,Building B,3,59.94,Pascal,2025-12-30 07:29:17.571295,45,-55,Active
IOT-042,Temperature,Warehouse,4,26.65,Boolean,2026-01-10 11:29:17.571300,82,-47,Active
IOT-085,Humidity,Warehouse,10,50.45,Pascal,2026-01-06 15:29:17.571304,89,-84,Active
IOT-088,Pressure,Building C,2,58.87,Percent,2026-01-07 18:29:17.571309,50,-51,Active
IOT-029,Pressure,Building B,3,34.48,Celsius,2026-01-12 01:29:17.571313,74,-66,Active
IOT-027,Motion,Building B,5,31.9,Percent,2025-12-27 17:29:17.571317,42,-60,Warning
IOT-038,Pressure,Warehouse,6,16.68,Percent,2025-12-16 09:29:17.571322,75,-54,Active
IOT-002,Motion,Building B,6,64.77,Pascal,2026-01-13 11:29:17.571326,82,-78,Warning
IOT-025,Temperature,Building A,7,32.04,Percent,2025-12-23 13:29:17.571331,17,-71,Active
IOT-066,Temperature,Building A,10,89.65,Percent,2025-12-17 21:29:17.571335,12,-62,Active
IOT-038,Pressure,Warehouse,8,66.32,Pascal,2026-01-03 05:29:17.571340,53,-60,Active
IOT-059,Humidity,Building B,6,62.3,Percent,2025-12-26 01:29:17.571345,20,-67,Warning
IOT-082,Pressure,Building B,10,57.9,Percent,2026-01-11 15:29:17.571350,10,-88,Warning
IOT-007,Motion,Building A,6,33.3,Percent,2025-12-24 07:29:17.571354,57,-46,Active
IOT-049,Motion,Warehouse,2,97.4,Celsius,2025-12-22 14:29:17.571359,79,-57,Active
IOT-068,Humidity,Building A,3,97.2,Percent,2026-01-04 09:29:17.571363,51,-32,Active
IOT-041,Temperature,Building B,6,42.31,Percent,2026-01-08 22:29:17.571368,86,-40,Active
IOT-074,Temperature,Warehouse,6,80.98,Boolean,2026-01-02 00:29:17.571372,54,-85,Active
IOT-051,Pressure,Building B,6,25.14,Percent,2026-01-05 03:29:17.571376,96,-35,Active
IOT-092,Motion,Warehouse,4,81.34,Boolean,2026-01-06 23:29:17.571381,43,-56,Active
IOT-094,Motion,Building A,2,39.34,Pascal,2026-01-12 06:29:17.571385,41,-78,Warning
IOT-024,Humidity,Building A,8,39.58,Pascal,2025-12-31 19:29:17.571390,70,-33,Active
IOT-036,Humidity,Warehouse,2,58.11,Boolean,2026-01-03 22:29:17.571394,15,-41,Active
IOT-080,Pressure,Warehouse,3,48.35,Pascal,2026-01-01 01:29:17.571398,87,-51,Active
IOT-097,Humidity,Building A,1,25.02,Pascal,2026-01-10 09:29:17.571403,87,-80,Warning
IOT-010,Temperature,Building A,9,65.41,Celsius,2026-01-02 07:29:17.571407,97,-78,Active
IOT-021,Humidity,Building B,3,33.18,Boolean,2026-01-05 13:29:17.571412,71,-49,Active
IOT-027,Motion,Warehouse,2,52.78,Pascal,2026-01-08 00:29:17.571416,44,-38,Active
IOT-055,Motion,Warehouse,6,34.64,Boolean,2025-12-22 07:29:17.571420,20,-46,Active
IOT-085,Motion,Warehouse,8,87.89,Pascal,2025-12-23 08:29:17.571425,23,-35,Active
IOT-091,Motion,Building A,4,43.73,Boolean,2025-12-25 19:29:17.571429,54,-47,Active
IOT-096,Temperature,Building A,1,90.44,Percent,2025-12-15 23:29:17.571434,35,-63,Active
IOT-005,Pressure,Building A,7,42.72,Boolean,2026-01-04 02:29:17.571438,99,-87,Active
IOT-099,Humidity,Building C,3,30.26,Boolean,2025-12-25 09:29:17.571443,49,-69,Active
IOT-086,Pressure,Building C,5,64.01,Boolean,2025-12-18 16:29:17.571447,43,-37,Active
IOT-059,Pressure,Building A,2,62.19,Percent,2026-01-02 12:29:17.571452,88,-42,Active
IOT-036,Humidity,Warehouse,8,67.61,Boolean,2025-12-30 14:29:17.571457,75,-54,Active
IOT-074,Motion,Warehouse,3,40.68,Pascal,2026-01-08 20:29:17.571461,31,-73,Active
IOT-034,Motion,Warehouse,9,42.2,Pascal,2025-12-31 08:29:17.571465,50,-89,Active
IOT-052,Motion,Building B,1,35.18,Percent,2025-12-22 04:29:17.571470,68,-35,Warning
IOT-006,Humidity,Building A,6,93.91,Boolean,2026-01-05 14:29:17.571474,91,-41,Active
IOT-014,Humidity,Warehouse,3,73.05,Pascal,2025-12-17 13:29:17.571479,41,-58,Active
IOT-059,Motion,Warehouse,4,79.28,Boolean,2026-01-01 23:29:17.571483,44,-35,Active
IOT-057,Temperature,Building A,4,31.5,Celsius,2025-12-19 16:29:17.571487,79,-48,Active
IOT-037,Pressure,Building A,8,71.23,Boolean,2025-12-29 02:29:17.571492,13,-86,Active
IOT-058,Temperature,Building A,9,79.83,Percent,2026-01-03 04:29:17.571496,85,-79,Active
IOT-083,Pressure,Building C,5,44.11,Boolean,2025-12-17 01:29:17.571501,17,-75,Active
IOT-032,Pressure,Building A,10,28.4,Pascal,2025-12-17 14:29:17.571505,62,-33,Warning
IOT-020,Temperature,Building A,10,74.25,Boolean,2026-01-05 16:29:17.571509,94,-61,Active
IOT-085,Pressure,Building C,3,66.95,Percent,2026-01-10 12:29:17.571514,40,-73,Active
IOT-079,Temperature,Building A,9,63.93,Pascal,2026-01-10 17:29:17.571518,31,-64,Warning
IOT-081,Motion,Warehouse,1,30.52,Celsius,2025-12-26 12:29:17.571522,23,-44,Active
IOT-061,Humidity,Warehouse,1,37.31,Celsius,2026-01-02 22:29:17.571527,82,-35,Active
IOT-057,Pressure,Warehouse,3,68.12,Boolean,2026-01-01 21:29:17.571531,42,-64,Active
IOT-052,Temperature,Warehouse,2,67.15,Boolean,2025-12-26 16:29:17.571536,25,-80,Active
IOT-088,Humidity,Warehouse,8,62.15,Celsius,2025-12-31 03:29:17.571540,27,-78,Active
IOT-085,Pressure,Building B,5,80.29,Percent,2026-01-08 07:29:17.571549,25,-89,Active
IOT-048,Pressure,Building C,10,84.25,Pascal,2026-01-12 21:29:17.571554,39,-66,Error
IOT-079,Pressure,Building A,1,38.5,Percent,2025-12-28 03:29:17.571558,21,-58,Active
IOT-011,Pressure,Warehouse,3,28.4,Percent,2025-12-31 18:29:17.571563,23,-56,Active
IOT-030,Humidity,Warehouse,3,32.1,Percent,2025-12-15 11:29:17.571567,94,-67,Active
IOT-060,Pressure,Warehouse,2,38.91,Celsius,2025-12-27 10:29:17.571572,15,-34,Active
IOT-018,Pressure,Building B,9,95.56,Celsius,2026-01-05 21:29:17.571576,33,-46,Active
IOT-092,Humidity,Building A,1,26.66,Pascal,2026-01-09 15:29:17.571581,22,-90,Active
IOT-077,Humidity,Building A,10,89.69,Celsius,2025-12-21 03:29:17.571586,61,-40,Active
IOT-074,Pressure,Warehouse,5,32.29,Pascal,2025-12-24 12:29:17.571590,90,-66,Active
IOT-047,Humidity,Building B,9,44.62,Pascal,2025-12-24 19:29:17.571595,83,-41,Active
IOT-012,Humidity,Building B,3,25.7,Celsius,2025-12-23 03:29:17.571599,86,-38,Active
IOT-050,Temperature,Warehouse,10,23.79,Celsius,2026-01-01 08:29:17.571603,80,-78,Active
IOT-040,Humidity,Warehouse,3,23.09,Celsius,2026-01-10 02:29:17.571608,78,-57,Active
IOT-090,Motion,Building B,7,44.13,Pascal,2026-01-10 23:29:17.571612,23,-76,Warning
IOT-064,Temperature,Building A,1,59.51,Percent,2026-01-10 16:29:17.571617,94,-85,Active
IOT-019,Motion,Building B,9,32.07,Pascal,2025-12-30 17:29:17.571621,91,-73,Active
IOT-087,Temperature,Building B,7,94.28,Pascal,2026-01-03 00:29:17.571625,87,-49,Active
IOT-027,Temperature,Building A,8,64.85,Boolean,2025-12-24 18:29:17.571630,48,-63,Active
IOT-052,Temperature,Building A,2,90.23,Boolean,2025-12-17 23:29:17.571634,57,-38,Active
IOT-080,Temperature,Building A,3,27.65,Percent,2026-01-07 07:29:17.571638,35,-69,Active
IOT-007,Humidity,Building A,9,27.2,Pascal,2026-01-09 04:29:17.571643,37,-48,Active
IOT-063,Motion,Building C,4,86.97,Pascal,2026-01-04 19:29:17.571647,74,-34,Active
IOT-077,Humidity,Building A,5,63.28,Celsius,2026-01-12 23:29:17.571652,22,-83,Warning
IOT-055,Humidity,Building B,9,94.78,Boolean,2025-12-16 13:29:17.571656,95,-35,Active
IOT-076,Pressure,Building B,10,27.49,Celsius,2025-12-30 12:29:17.571660,54,-67,Active
IOT-091,Humidity,Building A,8,17.21,Boolean,2026-01-12 10:29:17.571665,12,-79,Error
IOT-097,Temperature,Building B,5,92.91,Boolean,2026-01-06 05:29:17.571669,59,-67,Active
IOT-031,Pressure,Building B,2,74.4,Percent,2025-12-22 03:29:17.571674,94,-90,Warning
IOT-011,Pressure,Building C,3,83.61,Celsius,2026-01-11 20:29:17.571678,10,-51,Error
IOT-017,Humidity,Building C,3,40.16,Boolean,2025-12-26 03:29:17.571721,61,-42,Active
IOT-066,Motion,Warehouse,7,15.26,Celsius,2026-01-03 16:29:17.571734,47,-33,Active
IOT-067,Pressure,Warehouse,6,56.04,Celsius,2026-01-06 20:29:17.571739,19,-63,Active
IOT-098,Humidity,Building A,7,99.15,Boolean,2026-01-07 17:29:17.571743,97,-83,Warning
IOT-032,Humidity,Building C,8,92.14,Percent,2026-01-07 08:29:17.571748,72,-88,Active
IOT-024,Temperature,Warehouse,5,21.12,Percent,2025-12-20 23:29:17.571773,61,-74,Active
IOT-088,Motion,Building B,6,30.96,Celsius,2026-01-12 08:29:17.571785,17,-82,Active
IOT-013,Pressure,Warehouse,1,41.45,Boolean,2026-01-12 04:29:17.571791,67,-39,Active
IOT-022,Motion,Building A,4,85.58,Boolean,2025-12-19 16:29:17.571796,58,-32,Active
IOT-019,Motion,Warehouse,6,85.1,Pascal,2026-01-12 20:29:17.571800,13,-40,Active
IOT-053,Motion,Building A,4,30.73,Percent,2025-12-25 07:29:17.571805,43,-45,Active
IOT-094,Pressure,Warehouse,1,60.31,Boolean,2026-01-10 01:29:17.571809,41,-80,Active
IOT-039,Pressure,Warehouse,3,57.65,Percent,2025-12-24 10:29:17.571814,34,-50,Active
IOT-021,Motion,Building B,3,50.21,Pascal,2025-12-28 02:29:17.571818,40,-57,Warning
IOT-087,Humidity,Building B,3,60.55,Pascal,2025-12-25 19:29:17.571823,19,-71,Active
IOT-016,Pressure,Building B,4,39.89,Celsius,2026-01-08 08:29:17.571827,44,-72,Active
IOT-007,Temperature,Building B,9,60.18,Pascal,2025-12-16 04:29:17.571832,49,-43,Active
IOT-084,Motion,Building C,9,73.28,Pascal,2025-12-22 11:29:17.571836,86,-35,Active
IOT-078,Pressure,Warehouse,8,20.31,Boolean,2026-01-04 16:29:17.571841,69,-37,Error
IOT-026,Pressure,Building B,3,97.22,Boolean,2026-01-10 14:29:17.571845,87,-57,Warning
IOT-086,Motion,Building A,2,29.05,Pascal,2025-12-27 13:29:17.571849,77,-32,Active
IOT-090,Temperature,Building C,3,45.63,Boolean,2026-01-05 07:29:17.571854,12,-82,Active
IOT-076,Humidity,Building A,5,55.0,Boolean,2025-12-24 22:29:17.571858,76,-72,Active
IOT-031,Humidity,Building B,7,18.48,Celsius,2025-12-30 17:29:17.571863,12,-53,Active
IOT-068,Pressure,Warehouse,2,61.61,Boolean,2026-01-09 14:29:17.571868,73,-66,Active
IOT-040,Temperature,Warehouse,6,88.95,Celsius,2025-12-18 05:29:17.571872,57,-63,Error
IOT-027,Temperature,Warehouse,2,91.59,Boolean,2026-01-07 12:29:17.571876,62,-58,Active
IOT-009,Motion,Building B,1,42.73,Celsius,2026-01-09 02:29:17.571881,17,-48,Active
IOT-076,Motion,Building A,3,62.5,Celsius,2025-12-25 03:29:17.571885,56,-53,Active
IOT-093,Temperature,Warehouse,4,81.03,Percent,2025-12-18 16:29:17.571890,70,-46,Warning
IOT-092,Humidity,Building A,2,36.49,Celsius,2025-12-20 05:29:17.571894,36,-77,Active
IOT-016,Motion,Building B,3,59.92,Boolean,2025-12-26 06:29:17.571899,82,-65,Active
IOT-072,Motion,Warehouse,6,46.17,Celsius,2025-12-31 18:29:17.571903,79,-66,Active
IOT-013,Humidity,Building C,9,47.14,Pascal,2025-12-17 08:29:17.571907,29,-60,Active
IOT-078,Humidity,Building B,2,23.0,Celsius,2025-12-17 21:29:17.571912,19,-34,Active
IOT-060,Motion,Building C,7,49.59,Celsius,2026-01-12 13:29:17.571917,37,-60,Active
IOT-079,Temperature,Building B,1,28.67,Pascal,2025-12-21 02:29:17.571921,77,-64,Active
IOT-060,Motion,Building C,4,40.61,Boolean,2025-12-15 19:29:17.571926,61,-65,Active
IOT-009,Humidity,Building B,2,43.07,Boolean,2025-12-23 03:29:17.571932,11,-77,Active
IOT-053,Motion,Building A,4,51.6,Boolean,2025-12-23 18:29:17.571937,47,-89,Active
IOT-032,Pressure,Building A,2,92.94,Celsius,2025-12-17 09:29:17.571941,10,-85,Active
IOT-086,Humidity,Warehouse,3,68.63,Pascal,2026-01-06 20:29:17.571946,52,-65,Active
IOT-055,Motion,Warehouse,8,97.83,Percent,2026-01-13 11:29:17.571950,67,-57,Active
IOT-025,Pressure,Warehouse,4,65.21,Boolean,2025-12-16 03:29:17.571954,73,-36,Active
IOT-041,Humidity,Building B,6,83.47,Pascal,2025-12-15 15:29:17.571959,12,-71,Active
IOT-026,Pressure,Warehouse,9,85.9,Pascal,2025-12-28 18:29:17.571965,78,-50,Active
IOT-029,Temperature,Building B,8,77.82,Boolean,2026-01-11 23:29:17.571970,17,-51,Active
IOT-082,Humidity,Building C,2,71.94,Percent,2026-01-02 21:29:17.571974,25,-37,Active
IOT-036,Pressure,Building C,2,50.52,Boolean,2026-01-06 20:29:17.571979,85,-55,Active
IOT-084,Temperature,Building B,3,63.22,Pascal,2026-01-06 20:29:17.571983,93,-31,Active
IOT-097,Pressure,Building C,2,31.47,Pascal,2026-01-08 13:29:17.571988,23,-88,Active
IOT-084,Humidity,Building A,3,67.55,Percent,2026-01-08 09:29:17.571992,42,-34,Active
IOT-003,Humidity,Building A,2,58.72,Pascal,2026-01-09 06:29:17.571997,52,-37,Active
